id,title,release_year,rating,duration
308,Story of My Death,2013,6.5,148
309,Aurora,2010,6.7,181
310,The Turin Horse,2011,7.8,146
311,Shutter Island,2010,8.1,138
312,Saraband,2003,7.8,107
313,The Return,2003,8.0,105
314,Import Export,2007,7.1,141
315,The Revenant,2015,8.0,156
316,Tie Xi Qu: West of the Tracks,2002,8.6,551
317,Le filmeur,2005,6.8,97
318,Capitalism: Child Labor,2007,6.6,14
319,Psalm III: 'Night of the Meek',2002,7.2,24
320,Daylight Moon,2002,8.9,13
321,A Commuter’s Life (What a Life!),2014,,19
322,The Fourth Watch,2000,6.8,9
323,Our Daily Bread,2005,7.7,92
324,Ankhon Dekhi,2013,8.1,107
325,Court,2014,7.8,116
326,"LSD: Love, Sex Aur Dhokha",2010,7.1,155
327,Dev D,2009,8.1,144
328,Paan Singh Tomar,2012,8.3,135
329,Udaan,2010,8.2,134
330,Hazaaron Khwaishein Aisi,2003,8.0,120
331,Maqbool,2003,8.2,132
332,Lagaan: Once Upon a Time in India,2001,8.2,224
333,AI: Artificial Intelligence,2001,7.1,146
334,The Lady and the Duke,2001,6.9,129
335,Silent Souls,2010,6.7,78
336,Me and You and Everyone We Know,2005,7.3,91
337,Gone Girl,2014,8.1,149
338,Pain & Gain,2013,6.5,129
339,When the Levees Broke: A Requiem in Four Acts,2006,8.6,255
340,Before Midnight,2013,7.9,109
341,Fruitvale Station,2013,7.5,85
342,Brick,2005,7.4,110
343,Stray Dogs,2013,7.0,138
344,Ten,2002,7.5,94
345,Closed Curtain,2013,6.6,106
346,Tangerine,2015,7.0,88
347,Notre musique,2004,7.0,80
348,Triple Agent,2004,6.5,115
349,Gran Torino,2008,8.2,116
350,Horse Money,2014,7.0,103
351,Death Proof – Grindhouse,2007,7.1,113
352,Déjà Vu,2006,7.0,126
353,Seventh Code,2013,5.7,60
354,Dreams of a Life,2011,6.8,95
355,The Gleaners and I,2000,7.1,63
356,Lumumba,2000,7.2,115
357,Hunger,2008,7.6,96
358,"Eat, Sleep, Die",2012,6.5,104
359,Middle of Nowhere,2012,6.5,97
360,Star Trek,2009,8.0,127
361,Waking Life,2001,7.8,99
362,Enter the Void,2009,7.3,161
363,Of Gods and Men,2010,7.2,122
364,Into Great Silence,2005,7.4,169
365,The Descendants,2011,7.3,115
366,Beasts of the Southern Wild,2012,7.3,93
367,Idiocracy,2006,6.6,84
368,The Hurt Locker,2008,7.6,131
369,Michael Clayton,2007,7.3,119
370,You Can Count on Me Me,2000,7.7,111
371,Y Tu Mamá También,2001,7.7,106
372,Good Night and Good Luck,2005,7.5,93
373,Hugo,2011,7.5,126
374,Quills,2000,7.3,124
375,The Sapphires,2012,7.1,103
376,Where Do We Go Now?,2011,7.5,110
377,Ajami,2009,7.4,124
378,Chakde! India,2007,8.3,153
379,Amélie,2001,8.4,122
380,Avatar,2009,7.8,162
381,Coming Home,2014,7.3,109
382,The Wrestler,2008,7.9,109
383,The Great Beauty,2013,7.7,141
384,Eden,2014,4.7,90
385,Ghost World,2001,7.4,111
386,Wendy and Lucy,2008,7.1,80
387,Everyone Else,2009,6.7,119
388,Millennium Mambo,2001,7.0,119
389,In Vanda’s Room,2000,7.3,170
390,Toni Erdmann,2016,7.6,162
391,My Golden Days,2015,6.9,123
392,Carlos,2010,7.7,334
393,Sumas y Restas,2004,6.8,108
394,Regular Lovers,2005,7.1,183
395,The Days When I Do Not Exist,2002,6.8,114
396,The Death of Mr Lazarescu,2005,8.0,153
397,Phoenix,2014,7.3,98
398,Platform,2000,7.4,154
399,As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,2000,8.5,288
400,Silver Linings Playbook,2012,7.8,122
401,The Artist,2011,7.9,100
402,The King’s Speech,2010,8.0,118
403,Vera Drake,2004,7.7,125
404,Wild,2014,7.1,115
405,Theeb,2014,7.3,100
406,A Time for Drunken Horses,2000,7.7,80
407,Man on Wire,2008,7.8,94
408,Days of Glory,2006,7.1,120
409,Cosmos,2015,5.9,103
410,Che,2008,7.2,134
411,The Intruder,2004,7.0,130
412,Morvern Callar,2002,6.8,97
413,The Circle,2000,7.5,90
415,Rust and Bone,2012,7.5,120
416,5x2,2004,6.7,90
417,"Police, Adjective",2009,7.0,113
418,Winter Sleep,2014,8.2,196
419,Jackass 3D,2010,7.1,94
420,What Time Is It There?,2001,7.3,116
421,Letters From Iwo Jima,2006,7.9,141
422,Nebraska,2013,7.7,115
423,The Magdalene Sisters,2002,7.8,114
424,Father of My Children,2009,6.7,110
425,The Consequences of Love,2004,7.6,100
426,Summer Hours,2008,7.3,103
427,Wet Hot American Summer,2001,6.7,97
428,Cast Away,2000,7.7,143
429,Café Lumière,2003,7.0,108
430,Millennium Actress,2001,7.9,87
431,Hotel Rwanda,2004,8.1,121
432,Birth,2004,6.1,100
433,Silent Light,2007,7.3,136
434,Winter's Bone,2010,7.2,100
435,Moon,2009,7.9,97
436,The Taste of Others,2000,7.3,112
437,The Assassination of Jesse James by the Coward Robert Ford,2007,7.5,160
438,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,178
439,Making Of,2006,6.8,120
440,House of Flying Daggers,2004,7.6,119
441,Miners Shot Down,2014,7.9,86
442,678,2010,7.5,100
443,Hijack Stories,2000,6.6,90
444,Spotlight,2015,8.1,128
445,The Gatekeepers,2012,7.6,101
446,Sexy Beast,2000,7.3,83
447,Anchorman: The Legend of Ron Burgundy,2004,7.2,94
448,Los Angeles Plays Itself,2003,7.9,169
449,Crank,2006,7.0,88
450,The Forest for the Trees,2003,7.3,81
451,Miami Vice,2006,6.0,134
452,Woman on the Beach,2006,7.0,100
453,Nostalgia for the Light,2010,7.6,90
454,Lifeline,2002,7.6,5
455,Kung Fu Hustle,2004,7.8,99
456,Instructions for a Light and Sound Machine,2005,6.8,17
457,Un lac,2008,6.7,90
458,Detention,2011,5.8,93
459,A Vingança de Uma Mulher,2012,5.9,100
460,Before the Devil Knows You're Dead,2007,7.3,117
461,Match Point,2005,7.7,124
462,You Ain’t Seen Nothin’ Yet,2012,6.3,115
463,No Home Movie,2015,6.7,115
464,The Romance of Astrea and Celadon,2009,6.5,109
465,The Strange Case of Angelica,2010,6.3,97
466,Michelangelo Eye to Eye,2004,7.0,15
467,Warming by the Devil's Fire,2003,7.0,106
